Kode Wilayah;Mitra;ID RT;ID ART;Jenis Validasi;Perlakuan
1206030023000200;;69;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;70;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;70;3;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;79;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;79;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;83;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;102;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;113;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;123;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;148;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;152;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;153;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;156;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;157;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;157;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;163;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030027000100;;61;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030027000100;;64;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030027000100;;64;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030027000100;;65;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030027000100;;69;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030029000500;;2;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030029000500;;7;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030029000500;;24;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;4;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;6;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;20;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;38;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;40;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;40;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;42;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;43;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;43;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;64;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;74;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;80;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;88;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030031000300;;95;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
