"id";"k_wil";"nama_sls";"rt";"art";"validasi";"perlakuan";"cek";"catatan"
"28581";"1206040002000300";"DUSUN LUMBAN LAPO";"41";"1";"18 BIDAN DESA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28582";"1206040002000300";"DUSUN LUMBAN LAPO";"64";"2";"18 PNS BIDAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28583";"1206040003000200";"DUSUN PASAR SIMOTUNG";"92";"1";"16 PENSIUNAN BUMN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28584";"1206040003000200";"DUSUN PASAR SIMOTUNG";"110";"1";"5 PNS GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28585";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"5";"2";"5 GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28586";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"12";"2";"5 PNS KANTOR BUPATI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28587";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"19";"1";"5 GURU PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28588";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"25";"2";"5 GURU PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28589";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"28";"2";"5 PNS GURU";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28590";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"29";"1";"5 SEKRETARIAT DAERAH";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28591";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"31";"1";"5 POLISI POLRES TOBA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28592";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"31";"2";"5 BIDAN DESA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28593";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"34";"1";"5 PNS LURAH BALIGE";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28594";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"38";"2";"5 GURU PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28595";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"69";"1";"2 SEKCAM SIANTAR NARUMONDA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28596";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"69";"2";"5 GURU SMP";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28597";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"148";"1";"16 KEUANGAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28598";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"162";"2";"16 BANK SUMUT PEGAWAI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28599";"1206040005000400";"DUSUN 4 PERUMAHAN KORPRI";"183";"1";"16 SATPAM BANK SUMUT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28600";"1206040007000300";"DUSUN 3";"22";"2";"5 PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28601";"1206040007000300";"DUSUN 3";"16";"1";"5 PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28602";"1206040009000100";"DUSUN LUMBAN RIA RIA";"102";"1";"16 PEGAWAI BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28603";"1206040009000100";"DUSUN LUMBAN RIA RIA";"114";"2";"12 PENJUAL PAKAIAN DIPASAR TRADISONAL";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28604";"1206040011000400";"DUSUN SOSOR DOLOK";"22";"1";"11 PNS PU";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28605";"1206040013000200";"LINGKUNGAN 2";"114";"1";"16 PEGAWAI DI BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28606";"1206040013000200";"LINGKUNGAN 2";"111";"1";"5 POLISI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28607";"1206040013000200";"LINGKUNGAN 2";"97";"2";"16 PEGAWAI BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28608";"1206040013000200";"LINGKUNGAN 2";"60";"1";"16 PEGAWAI SWSTA BPR";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28609";"1206040018000200";"DUSUN PUBALUBIS";"53";"1";"16 PNS KEUANGAN DI BKD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28610";"1206050004000100";"DUSUN 1";"8";"2";"5 PENDIDIKAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28611";"1206050009000400";"LINGKUNGAN DOLOK SAE";"2";"1";"5 ANGGOTA TNI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28612";"1206050009000400";"LINGKUNGAN DOLOK SAE";"2";"2";"5 GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28613";"1206050009000400";"LINGKUNGAN DOLOK SAE";"6";"2";"4 GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28614";"1206050009000600";"LINGKUNGAN KOMPLEK SMP/SMA";"9";"2";"5 KEPALA PUSKESMAS DI BORBOR";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28615";"1206050009000800";"LINGKUNGAN PASAR 2";"70";"3";"16 KARYAWAN BANK SUMUR";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28616";"1206050009001000";"LINGKUNGAN RT 4";"59";"2";"5 PNS KESEHATAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28617";"1206050009001000";"LINGKUNGAN RT 4";"149";"1";"6 PNS BERTANI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28618";"1206050009001000";"LINGKUNGAN RT 4";"118";"1";"18 PENYULUHAN PERTANIAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28619";"1206050010000200";"DUSUN MATIO";"91";"2";"5 GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28620";"1206050012000100";"DUSUN I PANJANG";"49";"2";"5 GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28621";"1206050012000400";"DUSUN IV HUTA TINGGI";"12";"1";"9 KARYAWAN PLN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28622";"1206050014000200";"DUSUN LOBU TOLONG";"3";"2";"5 PNS GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"belum";NULL
"28623";"1206050015000700";"DUSUN NAGURGURAN";"25";"1";"5 PNS GURU SD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28624";"1206050022000300";"DUSUN 3";"13";"1";"5 GURU DI SD PARSOBURAN BARAT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28625";"1206050022000300";"DUSUN 3";"24";"2";"5 GURU DI SD PARSOBURAN BARAT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28626";"1206050022000300";"DUSUN 3";"25";"1";"5 GURU DI SMP HABINSARAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28627";"1206051015000100";"DUSUN 1";"24";"3";"9 PEKERJA PLN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28628";"1206052008000300";"DUSUN SIJUNGKAT";"55";"1";"24 PERNGKAT DESA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
