k_wil;k_kec;n_kec;k_desa;n_desa;k_sls;k_subsls;n_sls
1,21E+15;40;LAGUBOTI;17;OMPU RAJA HUTAPEA;2;0;DUSUN SIRAJA DEANG TORUAN
1,21E+15;40;LAGUBOTI;17;OMPU RAJA HUTAPEA;3;0;DUSUN GOMPAR HUALA
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;1;0;DUSUN LUMBAN HARIARA
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;2;0;DUSUN PUBALUBIS
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;3;0;DUSUN GOMPAR SIMURING
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;4;0;DUSUN SILALAHI
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;5;0;DUSUN PATUJULU
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;6;0;DUSUN PANALASA
1,21E+15;40;LAGUBOTI;18;SITOLUAMA;7;0;DUSUN PUNTUMANDA
1,21E+15;40;LAGUBOTI;19;PARDINGGARAN;1;0;DUSUN HUTA GUR-GUR
1,21E+15;40;LAGUBOTI;19;PARDINGGARAN;2;0;DUSUN PARDINGGARAN DOLOK
1,21E+15;40;LAGUBOTI;19;PARDINGGARAN;3;0;DUSUN PARDINGGARANTONGA-TONGA
1,21E+15;40;LAGUBOTI;19;PARDINGGARAN;4;0;DUSUN PARDINGGARAN TORUAN
1,21E+15;40;LAGUBOTI;20;LUMBAN BINANGA;1;0;DUSUN GOMPAR SIAHAAN
1,21E+15;40;LAGUBOTI;20;LUMBAN BINANGA;2;0;DUSUN LUMBAN SILITONGA
1,21E+15;40;LAGUBOTI;20;LUMBAN BINANGA;3;0;DUSUN GOMPAR SIAMPUDAN
1,21E+15;40;LAGUBOTI;21;SIRAJA GORAT;1;0;DUSUN 1
1,21E+15;40;LAGUBOTI;21;SIRAJA GORAT;2;0;DUSUN 2
1,21E+15;40;LAGUBOTI;21;SIRAJA GORAT;3;0;DUSUN 3
1,21E+15;40;LAGUBOTI;21;SIRAJA GORAT;4;0;DUSUN 4
1,21E+15;40;LAGUBOTI;22;OMPU RAJA HUTAPEA TIMUR;1;0;DUSUN LUMBAN BALIAN
1,21E+15;40;LAGUBOTI;22;OMPU RAJA HUTAPEA TIMUR;2;0;DUSUN LUMBAN SEWA
1,21E+15;40;LAGUBOTI;22;OMPU RAJA HUTAPEA TIMUR;3;0;DUSUN BIBIR AEK
1,21E+15;40;LAGUBOTI;22;OMPU RAJA HUTAPEA TIMUR;4;0;DUSUN SARUNG ARUNG
1,21E+15;40;LAGUBOTI;22;OMPU RAJA HUTAPEA TIMUR;5;0;DUSUN LUMBAN NABOLON
1,21E+15;40;LAGUBOTI;22;OMPU RAJA HUTAPEA TIMUR;6;0;DUSUN SIMATUPANG
1,21E+15;40;LAGUBOTI;23;OMPU RAJA HATULIAN;1;0;DUSUN 1 GOMPAR JONGGARA
1,21E+15;40;LAGUBOTI;23;OMPU RAJA HATULIAN;2;0;DUSUN AEK SIMARE
1,21E+15;40;LAGUBOTI;23;OMPU RAJA HATULIAN;3;0;DUSUN SOMARHIRHIR
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;1;0;DUSUN 1
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;2;0;DUSUN 2
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;3;0;DUSUN 3
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;4;0;DUSUN 4
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;5;0;DUSUN 5
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;6;0;DUSUN 6
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;7;0;DUSUN 7
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;8;0;DUSUN 8
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;9;0;DUSUN 9
1,21E+15;50;HABINSARAN;4;LUMBAN RAU BARAT;10;0;DUSUN 10
1,21E+15;50;HABINSARAN;5;LUMBAN RAU SELATAN;1;0;DUSUN BANJAR GEREJA
1,21E+15;50;HABINSARAN;5;LUMBAN RAU SELATAN;2;0;DUSUN LOBU PINING
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;1;0;LINGKUNGAN PARSANGGRAHAN
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;2;0;LINGKUNGAN SIMPANG 3
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;3;0;LINGKUNGAN JALAN BARU
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;4;0;LINGKUNGAN DOLOK SAE
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;5;0;LINGKUNGAN HUTA GORAT DOLOK
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;6;0;LINGKUNGAN KOMPLEK SMP/SMA
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;7;0;LINGKUNGAN PASAR 1
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;8;0;LINGKUNGAN PASAR 2
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;9;0;LINGKUNGAN HUTA TONGA /RT 3
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;10;0;LINGKUNGAN RT 4
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;11;0;LINGKUNGAN LUMBAN MATIO
1,21E+15;50;HABINSARAN;9;PARSOBURAN TENGAH;12;0;LINGKUNGAN JONGGI NIHUTA
1,21E+15;50;HABINSARAN;10;PARSOBURAN BARAT;1;0;DUSUN PONDOK BARU
1,21E+15;50;HABINSARAN;10;PARSOBURAN BARAT;2;0;DUSUN MATIO
1,21E+15;50;HABINSARAN;10;PARSOBURAN BARAT;3;0;DUSUN TUNGKO NISOLU
1,21E+15;50;HABINSARAN;10;PARSOBURAN BARAT;4;0;DUSUN PONDOK PABRIK
1,21E+15;50;HABINSARAN;11;LUMBAN BALIK;1;0;DUSUN TANAH LAPANG
1,21E+15;50;HABINSARAN;11;LUMBAN BALIK;2;0;DUSUN NAPA
1,21E+15;50;HABINSARAN;11;LUMBAN BALIK;3;0;DUSUN TAMBUNAN
1,21E+15;50;HABINSARAN;12;LUMBAN PINASA;1;0;DUSUN I PANJANG
1,21E+15;50;HABINSARAN;12;LUMBAN PINASA;2;0;DUSUN 2 GOLAT
1,21E+15;50;HABINSARAN;12;LUMBAN PINASA;3;0;DUSUN III HUTA GORAT
